Brand,Country,Whiskies,Votes,Rating,WB Ranking,Continente
Two Brewers,Canada,8,2,86,C,America
Wayne Gretzky No.99,Canada,5,4,82.54,D,America
Wild Oak,Canada,1,1,81,D,America
Windsor,Canada,3,1,74,F,America
Wiser's,Canada,15,10,80.71,D,America
Yukon Jack,Canada,1,0,49.85,G,America
Old Havana,Cuba,1,1,45,G,America
Gold Cock,Czech Republic,33,26,85.93,C,Europa
Gold King Whisky,Czech Republic,1,0,49.85,G,Europa
Hammer Head,Czech Republic,5,4,77.46,E,Europa
King Barley,Czech Republic,2,0,49.85,G,Europa
King Barleycorn,Czech Republic,1,0,49.85,G,Europa
Kord's,Czech Republic,1,0,49.85,G,Europa
Old Well,Czech Republic,1,1,86,C,Europa
Printer's,Czech Republic,2,1,57.25,G,Europa
Stock Plzeň,Czech Republic,2,0,49.85,G,Europa
Trebitsch,Czech Republic,9,1,67,G,Europa
Braunstein,Denmark,33,27,79.65,E,Europa
Brænderiet Limfjorden,Denmark,1,0,49.85,G,Europa
Cloc Whisky,Denmark,2,1,79,E,Europa
Enghaven,Denmark,1,1,61,G,Europa
Fary Lochan,Denmark,22,15,79.66,E,Europa
Isfjord,Denmark,2,0,49.85,G,Europa
Mikkeller Spirits,Denmark,1,0,49.85,G,Europa
Nordisk Brænderi,Denmark,1,1,82,D,Europa
Nyborg,Denmark,6,2,81,D,Europa
Peated Young Malt,Denmark,1,1,73.5,F,Europa
Rös,Denmark,1,1,80.5,D,Europa
Spirit of Aarhus,Denmark,1,1,76,E,Europa
Stauning,Denmark,56,46,78.18,E,Europa
Thy Whisky,Denmark,10,7,83.95,D,Europa
Trolden,Denmark,4,2,70.75,F,Europa
Vingården Lille Gadegård,Denmark,6,6,64.75,G,Europa
Young Malt,Denmark,2,1,74,F,Europa
Batshit Mental Ideas,England,1,1,89.5,C,Europa
Envy,England,1,0,49.85,G,Europa
Liverpool Whisky,England,2,0,49.85,G,Europa
Helsinki Distilling Company,Finland,7,5,75.4,E,Europa
Kolme Leijonaa,Finland,1,0,49.85,G,Europa
Kyrö Distillery Company,Finland,11,7,79.06,E,Europa
Old Buck,Finland,10,5,82.63,D,Europa
Panimoravintola Koulu,Finland,2,1,72,F,Europa
Teerenpeli,Finland,29,26,80.74,D,Europa
Valamo,Finland,11,3,78.69,E,Europa
Aged Malt Spirit,France,1,1,42.5,G,Europa
Altore,France,2,2,64.63,G,Europa
Armorik,France,52,48,81.84,D,Europa
Auguste Mattei,France,1,0,49.85,G,Europa
AWA,France,22,13,79.26,E,Europa
Baron de Camenie,France,3,3,77.33,E,Europa
Bastille 1789,France,3,2,70.72,F,Europa
Bellevoye,France,5,3,73.56,F,Europa
Bercloux,France,6,3,62.67,G,Europa
Black Mountain,France,4,3,76.96,E,Europa
Breizh,France,2,2,76.75,E,Europa
Brenne,France,5,3,68.47,G,Europa
Celtique Connexion,France,22,16,85.88,C,Europa
Club 73,France,1,0,49.85,G,Europa
Couvreur's Clearach,France,5,5,77.16,E,Europa
D.U.C,France,1,0,49.85,G,Europa
DB 53,France,1,1,82,D,Europa
Distillerie de Monsieur Balthazar,France,2,2,74.17,F,Europa
Distillerie du Pays d'Othe,France,3,3,71.83,F,Europa
Distillerie Theo Preiss,France,2,2,75.5,E,Europa
Domaine de Bourjac,France,1,1,71,F,Europa
Domaine des Hautes Glaces,France,23,15,78.69,E,Europa
Domus Cardinalis,France,1,1,80,D,Europa
Doz de Dauzanges,France,1,1,65,G,Europa
Ed Gwenn,France,1,1,80,D,Europa
Eddu,France,12,12,78.65,E,Europa
Elsass Whisky,France,4,3,81.92,D,Europa
Ergaster,France,1,1,73,F,Europa
Fafnir,France,1,1,65,G,Europa
Fauchon,France,1,0,49.85,G,Europa
Fisselier,France,1,0,49.85,G,Europa
G. Rozelieures,France,12,8,78.07,E,Europa
Galleg,France,1,1,55.67,G,Europa
Glann ar Mor,France,26,19,82.86,D,Europa
Glenroc,France,1,0,49.85,G,Europa
Golden Arms,France,1,0,49.85,G,Europa
Guillon,France,18,14,75.05,E,Europa
Gwenroc,France,1,1,65,G,Europa
Hepp,France,6,4,74.88,F,Europa
J.Michard,France,2,2,77,E,Europa
JSD,France,1,1,73,F,Europa
Kaerilis,France,12,2,84.34,D,Europa
Kenning,France,1,0,49.85,G,Europa
Kornog,France,56,48,85.72,C,Europa
La Piautre,France,1,0,49.85,G,Europa
Lac'Holl,France,3,3,80.83,D,Europa
Lascaw,France,2,2,74.43,F,Europa
Little Red Door,France,1,0,49.85,G,Europa
Lordly,France,1,0,49.85,G,Europa
Lorrain,France,1,1,10,G,Europa
Main Fields,France,1,0,49.85,G,Europa
Maison Benjamin Kuentz,France,3,3,80.33,D,Europa
Marie Louise Tissot,France,1,1,74,F,Europa
Meyer,France,3,3,75.34,E,Europa
Michel Couvreur,France,17,11,86.86,C,Europa
Moon Harbour,France,3,3,79.35,E,Europa
Moutard,France,1,1,73,F,Europa
Naguelann,France,6,4,80.63,D,Europa
New Malt Spirit,France,1,0,49.85,G,Europa
Old Nobility,France,1,0,49.85,G,Europa
Osokyé,France,1,0,49.85,G,Europa
P&M,France,16,12,73.46,F,Europa
Peaty Overaged Malt Whisky,France,1,1,90,B,Europa
Reflets de France,France,1,1,70.5,F,Europa
René de Miscault,France,1,0,49.85,G,Europa
Reserve Legendaire,France,2,1,83,D,Europa
Roof Rye,France,1,1,83,D,Europa
Rouget de L'Isle,France,5,5,84.87,D,Europa
Sleipnir,France,1,1,75,E,Europa
The Aubigny Auld Alliance,France,1,0,49.85,G,Europa
Thor Boyo,France,1,1,68.25,G,Europa
Uberach,France,18,14,78.54,E,Europa
Vicomte,France,1,1,72.6,F,Europa
Vieux Malt,France,1,0,49.85,G,Europa
Vilanova,France,4,4,76.5,E,Europa
Vulson,France,3,2,82.63,D,Europa
Wambrechies,France,5,5,65.96,G,Europa
WAW,France,1,1,78,E,Europa
WB,France,3,2,70.75,F,Europa
Welche's Whisky,France,6,5,83.82,D,Europa
Westbury,France,1,0,49.85,G,Europa
Whisky de Bretagne,France,1,0,49.85,G,Europa
Aecht Schlenkerla,Germany,1,1,61,G,Europa
Alde Gott,Germany,1,0,49.85,G,Europa
Allgäu Brown,Germany,1,0,49.85,G,Europa
Allgäu-Whisky,Germany,4,2,63.17,G,Europa
Alt Enderle,Germany,17,14,83.66,D,Europa
Ammertaler,Germany,1,0,49.85,G,Europa
Aureum 1865,Germany,21,19,79.23,E,Europa
Austrasier,Germany,5,2,84,D,Europa
Autenrieder,Germany,1,1,76,E,Europa
Ayrer's,Germany,37,29,82.21,D,Europa
BAAS,Germany,4,4,74.46,F,Europa
bachgau-Destille,Germany,5,1,65,G,Europa
Baden Whisky,Germany,1,1,68,G,Europa
Baltach,Germany,4,3,81.08,D,Europa
Bären Whisky 1831,Germany,1,0,49.85,G,Europa
Bavarian Moonshine,Germany,1,0,49.85,G,Europa
Berentzen,Germany,1,0,49.85,G,Europa
Bischof's,Germany,1,1,46,G,Europa
Bischoff,Germany,1,1,79,E,Europa
Black Forest,Germany,22,18,76.53,E,Europa
Black Horse,Germany,1,1,73.5,F,Europa
Black-Wood,Germany,2,1,68,G,Europa
Blaue Maus,Germany,23,10,67.03,G,Europa
Bliesgau,Germany,2,1,86.33,C,Europa
Bofet,Germany,1,1,87,C,Europa
Boldizar,Germany,1,1,72,F,Europa
Bosch-Edelbrand,Germany,4,2,69.65,G,Europa
Brennerei Brehmer-Knauer,Germany,1,0,49.85,G,Europa
Brennerei Ludwig Faber,Germany,1,1,38.67,G,Europa
Brennerei Martin Meier,Germany,3,2,64.17,G,Europa
Brigantia,Germany,9,8,79.91,E,Europa
Büchold Castle,Germany,1,0,49.85,G,Europa
Burgenwhisky,Germany,1,0,49.85,G,Europa
Café Z,Germany,1,1,86.5,C,Europa
Cofaidh,Germany,3,1,86,C,Europa
Coillmór,Germany,50,38,70.24,F,Europa
Corvill,Germany,2,1,40.67,G,Europa
Crazy Christmas Edition,Germany,1,1,88,C,Europa
Danne's,Germany,8,3,70.11,F,Europa
Deheck,Germany,1,1,81,D,Europa
Der Falckner,Germany,6,1,70,F,Europa
Der kleine Lord,Germany,1,0,49.85,G,Europa
Der Kolonist,Germany,1,1,76,E,Europa
Der Schwarzbrenner,Germany,1,0,49.85,G,Europa
Derrina,Germany,4,3,74,F,Europa
Die Whiskybotschaft GmbH,Germany,2,1,85,C,Europa
Dirker Whisky,Germany,3,2,78.25,E,Europa
Dog Head,Germany,2,0,49.85,G,Europa
