Brand,Country,Whiskies,Votes,Rating,WB Ranking,Continente
Burns Heritage,Scotland,2,0,49.85,G,Europa
Burns Nectar,Scotland,3,1,64,G,Europa
Burns Night,Scotland,1,1,84,D,Europa
Burnside,Scotland,47,38,86.35,C,Europa
Butterfly Temptations,Scotland,1,1,82.5,D,Europa
C&J McDonald's,Scotland,7,0,49.85,G,Europa
Cabrach,Scotland,1,0,49.85,G,Europa
Caermory,Scotland,3,2,85.67,C,Europa
Cailleach,Scotland,5,4,83.63,D,Europa
Cairn Guish,Scotland,1,1,88,C,Europa
Cairngorm Whisky Centre,Scotland,2,0,49.85,G,Europa
Cairngorm's Dew,Scotland,1,1,76,E,Europa
Cairnleigh,Scotland,1,1,79,E,Europa
Cairnluish,Scotland,2,2,68,G,Europa
Cairns,Scotland,3,1,80,D,Europa
Calchou,Scotland,2,2,85,C,Europa
Caledonian,Scotland,72,49,86.68,C,Europa
Cambus,Scotland,116,85,85.09,C,Europa
Cameo,Scotland,2,0,49.85,G,Europa
Cameron,Scotland,1,0,49.85,G,Europa
Cameron's,Scotland,4,1,75.5,E,Europa
Cameronbridge,Scotland,145,107,84.67,D,Europa
Campbell's,Scotland,10,1,85,C,Europa
Campbeltown,Scotland,5,4,88.13,C,Europa
Campbeltown Blended Malt,Scotland,21,19,86.98,C,Europa
Campbeltown Commemoration,Scotland,24,24,82.56,D,Europa
Campbeltown Loch,Scotland,21,15,82.35,D,Europa
Campbeltown Malt Scotch Whisky,Scotland,2,2,89,C,Europa
Campbeltown PBS,Scotland,3,3,85.83,C,Europa
Campbeltown Region,Scotland,1,1,82.55,D,Europa
Campbeltown Row,Scotland,1,1,89,C,Europa
Candid,Scotland,2,2,83.84,D,Europa
Canto Cask,Scotland,17,12,84.48,D,Europa
Cantoni Bernardo,Scotland,1,1,91.25,B,Europa
Caol Ila,Scotland,3145,2225,86.75,C,Europa
Cap 4,Scotland,1,1,73,F,Europa
Capercaillie,Scotland,2,0,49.85,G,Europa
Caperdonich,Scotland,420,338,87.38,C,Europa
Capital Dram,Scotland,1,0,49.85,G,Europa
Captain Burn's,Scotland,1,0,49.85,G,Europa
Cardhu,Scotland,126,83,82.24,D,Europa
Carlton,Scotland,3,2,78,E,Europa
Carlyles' VAT,Scotland,1,0,49.85,G,Europa
Carnaby St.,Scotland,10,1,86,C,Europa
Carnegie's,Scotland,1,0,49.85,G,Europa
Carraig Dubh,Scotland,1,1,87,C,Europa
Carsebridge,Scotland,75,55,87.12,C,Europa
Cask Force,Scotland,1,1,85,C,Europa
Cask Islay,Scotland,7,7,82.28,D,Europa
Cask Orkney,Scotland,1,1,87.21,C,Europa
Caskieben,Scotland,2,1,89,C,Europa
Castle Pride,Scotland,3,0,49.85,G,Europa
Castle Rock,Scotland,3,1,58.5,G,Europa
Castlebay,Scotland,1,0,49.85,G,Europa
Castlewood,Scotland,1,0,49.85,G,Europa
Catto,Scotland,3,3,83.13,D,Europa
Catto's,Scotland,16,7,78.74,E,Europa
Cavalier,Scotland,1,0,49.85,G,Europa
Cawdordew,Scotland,2,1,90,B,Europa
Cearban,Scotland,1,1,70,F,Europa
Celebration,Scotland,4,0,49.85,G,Europa
CELP,Scotland,3,3,77.57,E,Europa
Celtic,Scotland,12,0,49.85,G,Europa
Centenary Blend,Scotland,2,1,87.33,C,Europa
Chairman's Celebration Reserve,Scotland,1,0,49.85,G,Europa
Chamberlains,Scotland,1,1,84.5,D,Europa
Charleston,Scotland,1,0,49.85,G,Europa
Charlie Stuart,Scotland,1,0,49.85,G,Europa
Cheers England,Scotland,1,0,49.85,G,Europa
Chequers,Scotland,15,5,83.7,D,Europa
Chevy Chase,Scotland,1,0,49.85,G,Europa
Chieftain's,Scotland,32,20,87.69,C,Europa
Chieftain's Choice,Scotland,7,6,90.83,B,Europa
Chimera,Scotland,3,2,85.9,C,Europa
Chivalry,Scotland,1,1,65,G,Europa
Chivas Brothers,Scotland,24,11,85.3,C,Europa
Chivas De Danu,Scotland,1,0,49.85,G,Europa
Chivas Regal,Scotland,110,70,77.64,E,Europa
Choicest Liqueur,Scotland,1,0,49.85,G,Europa
Christmas Malt,Scotland,9,7,85.81,C,Europa
Christopher & Co.,Scotland,1,0,49.85,G,Europa
Churchill,Scotland,1,0,49.85,G,Europa
Churchill's,Scotland,NA,0,49.85,G,Europa
Churtons,Scotland,1,0,49.85,G,Europa
Clachaig,Scotland,1,0,49.85,G,Europa
Cladach,Scotland,1,1,88,C,Europa
Claggain,Scotland,1,0,49.85,G,Europa
Clan Ardroch,Scotland,1,0,49.85,G,Europa
Clan Ben,Scotland,1,0,49.85,G,Europa
Clan Blend,Scotland,2,2,73.5,F,Europa
Clan Campbell,Scotland,33,10,71.3,F,Europa
Clan Denny,Scotland,8,7,84.8,D,Europa
Clan Fraser,Scotland,3,2,75,E,Europa
Clan Gold,Scotland,4,1,75,E,Europa
Clan House,Scotland,1,1,75,E,Europa
Clan MacGregor,Scotland,14,6,68.25,G,Europa
Clan More,Scotland,1,1,84,D,Europa
Clan Murdock,Scotland,2,0,49.85,G,Europa
Clan Murray,Scotland,2,2,72,F,Europa
Clan Northe,Scotland,1,0,49.85,G,Europa
Clan Robertson,Scotland,2,0,49.85,G,Europa
Clan Tartan,Scotland,1,0,49.85,G,Europa
Clandestine,Scotland,1,1,86.85,C,Europa
Clansman,Scotland,2,1,72,F,Europa
Classic,Scotland,2,1,85.06,C,Europa
Classic Campbeltown,Scotland,2,2,85.65,C,Europa
Classic Highland,Scotland,1,1,80,D,Europa
Classic Islay,Scotland,2,2,82.17,D,Europa
Classic Lowland,Scotland,1,0,49.85,G,Europa
Classic of Islay,Scotland,181,156,86.16,C,Europa
Clifton Moore,Scotland,3,0,49.85,G,Europa
Club 45,Scotland,3,0,49.85,G,Europa
Club 99,Scotland,2,1,70,F,Europa
Club Deluxe,Scotland,1,0,49.85,G,Europa
Club Man,Scotland,1,0,49.85,G,Europa
Cluny,Scotland,22,7,79.63,E,Europa
Clydebank,Scotland,2,1,64.5,G,Europa
Clynelish,Scotland,1589,1233,86.51,C,Europa
Cockburn,Scotland,5,3,75.11,E,Europa
Cockburns,Scotland,2,2,83.13,D,Europa
Coepenick Collection,Scotland,1,0,49.85,G,Europa
Coeur de Cave,Scotland,3,2,87.58,C,Europa
Coilltean,Scotland,6,6,90.67,B,Europa
Coinnich,Scotland,2,2,80.5,D,Europa
Coleburn,Scotland,78,53,86.34,C,Europa
Collection Moon,Scotland,2,1,83.33,D,Europa
Collectivum XXVIII,Scotland,1,1,86.91,C,Europa
Collectors,Scotland,1,0,49.85,G,Europa
Colonel Black,Scotland,1,0,49.85,G,Europa
Colonial Blend,Scotland,1,0,49.85,G,Europa
Còmhlan,Scotland,5,4,86.15,C,Europa
Coming from Islay,Scotland,4,3,87.63,C,Europa
Commonwealth Games,Scotland,2,1,88.5,C,Europa
Confidential Cask,Scotland,9,9,85.75,C,Europa
Congratulations,Scotland,2,0,49.85,G,Europa
Conrad Hilton,Scotland,1,0,49.85,G,Europa
Consulate,Scotland,4,0,49.85,G,Europa
Convalmore,Scotland,107,80,86.83,C,Europa
Coopers & Lybrand Deloitte,Scotland,1,1,89,C,Europa
Coopers' Select,Scotland,1,0,49.85,G,Europa
Copper Dog,Scotland,1,1,80.67,D,Europa
Corney & Barrow,Scotland,2,0,49.85,G,Europa
Corrour,Scotland,1,0,49.85,G,Europa
Corryhabbie,Scotland,2,2,88,C,Europa
Corshelloch,Scotland,1,1,85.5,C,Europa
Cottons Choice No.1,Scotland,1,0,49.85,G,Europa
Covent Garden,Scotland,3,0,49.85,G,Europa
Coylumbridge,Scotland,1,1,85,C,Europa
Crabbie,Scotland,8,2,86,C,Europa
Cragabus,Scotland,2,2,81.85,D,Europa
Cragganmore,Scotland,540,390,84.64,D,Europa
Craig Athol,Scotland,4,0,49.85,G,Europa
Craigardle,Scotland,1,0,49.85,G,Europa
Craigduff,Scotland,5,5,87.47,C,Europa
Craigellachie,Scotland,615,417,84.5,D,Europa
Craigleith,Scotland,NA,0,49.85,G,Europa
Craiglodge,Scotland,4,3,73.58,F,Europa
Craigmills,Scotland,1,1,83.25,D,Europa
Craignure,Scotland,2,2,72,F,Europa
Craigpark,Scotland,1,0,49.85,G,Europa
Craw's Nest,Scotland,1,0,49.85,G,Europa
Crawford's,Scotland,15,11,82.66,D,Europa
Crazy 5,Scotland,1,1,83,D,Europa
Crazy Creature Edition,Scotland,1,1,86.67,C,Europa
Crazy Glen,Scotland,4,1,83.25,D,Europa
Crazy Horse,Scotland,2,1,79,E,Europa
Crazy Stallion,Scotland,1,1,81.5,D,Europa
Creations,Scotland,15,15,86.42,C,Europa
Crinan Canal Water,Scotland,1,0,49.85,G,Europa
Croftengea,Scotland,52,38,83.23,D,Europa
Crois Chill Daltain,Scotland,2,2,91.24,B,Europa
Cromdale,Scotland,4,2,82.75,D,Europa
Cromwell's,Scotland,2,0,49.85,G,Europa
Cross,Scotland,1,0,49.85,G,Europa
Crown of Scotland,Scotland,1,0,49.85,G,Europa
Crown Reserve,Scotland,2,0,49.85,G,Europa
Crown Salute,Scotland,1,0,49.85,G,Europa
Crown Vat,Scotland,1,0,49.85,G,Europa
Cú Dhub,Scotland,4,3,67.05,G,Europa
Cùl na Creagan,Scotland,2,0,49.85,G,Europa
Cullicudden,Scotland,3,0,49.85,G,Europa
Culloden,Scotland,5,2,80,D,Europa
Culter Highland,Scotland,1,1,85,C,Europa
Culter Speyside,Scotland,1,1,83,D,Europa
Cumbrae Castle,Scotland,1,0,49.85,G,Europa
Curtis,Scotland,4,0,49.85,G,Europa
Cutty Black,Scotland,2,1,71.67,F,Europa
Cutty Sark,Scotland,61,41,79.36,E,Europa
D & D,Scotland,1,0,49.85,G,Europa
D is for Decadence,Scotland,1,1,85,C,Europa
Daftmill,Scotland,2,2,87.59,C,Europa
Dailuaine,Scotland,580,418,84.96,D,Europa
Daks,Scotland,2,0,49.85,G,Europa
Dalaruan,Scotland,5,2,84.44,D,Europa
Dalchully,Scotland,1,0,49.85,G,Europa
Dallas Dhu,Scotland,306,214,87.7,C,Europa
Dallmayr Islay Select,Scotland,3,3,86.67,C,Europa
Dallmayr Speyside Select,Scotland,2,1,80,D,Europa
Dalmore,Scotland,533,384,85.86,C,Europa
Dalriada,Scotland,1,1,76.33,E,Europa
Dalvegan,Scotland,3,1,82,D,Europa
Dalwhinnie,Scotland,105,79,83.65,D,Europa
Dandie Dinmont,Scotland,1,0,49.85,G,Europa
Daniel Crawford's,Scotland,3,0,49.85,G,Europa
Danny Deever's,Scotland,1,0,49.85,G,Europa
Darach - Ruadh,Scotland,2,2,83.25,D,Europa
Dark Castle,Scotland,1,0,49.85,G,Europa
Dark Whisky,Scotland,1,1,73.5,F,Europa
Darkness!,Scotland,1,1,91.5,B,Europa
Dartmoore,Scotland,1,0,49.85,G,Europa
David Ston,Scotland,1,0,49.85,G,Europa
De Luxe,Scotland,1,0,49.85,G,Europa
Dean's,Scotland,2,1,68.6,G,Europa
Deanston,Scotland,204,164,84.42,D,Europa
Deanston Mill,Scotland,4,3,59,G,Europa
Deerstalker,Scotland,9,6,80.08,D,Europa
Defender,Scotland,2,0,49.85,G,Europa
Delilah's,Scotland,2,2,85.56,C,Europa
DeLuxe Blended,Scotland,1,1,88.17,C,Europa
Delva,Scotland,1,0,49.85,G,Europa
Desmond & Duff,Scotland,4,1,81,D,Europa
Deventer Whisky,Scotland,1,0,49.85,G,Europa
Deviant,Scotland,1,1,89.88,C,Europa
Devolution Dram,Scotland,2,0,49.85,G,Europa
Dew of Ballindalloch,Scotland,2,1,84,D,Europa
Dew of Ben Alder,Scotland,4,0,49.85,G,Europa
Dew of Ben Nevis,Scotland,16,9,66.16,G,Europa
Dewar's,Scotland,88,51,79.75,E,Europa
Dhoon Glen,Scotland,1,1,80,D,Europa
Dhunomhainn,Scotland,1,0,49.85,G,Europa
Dice,Scotland,1,0,49.85,G,Europa
Dimple,Scotland,57,28,78.97,E,Europa
Diners,Scotland,4,2,89,C,Europa
Diners' Club,Scotland,1,0,49.85,G,Europa
Diplomat Reserve,Scotland,1,0,49.85,G,Europa
Director's Choice,Scotland,1,1,72,F,Europa
Director's Reserve,Scotland,3,0,49.85,G,Europa
Dirty Dianne,Scotland,1,1,86.64,C,Europa
Distilled at Islay,Scotland,1,0,49.85,G,Europa
Diùn-Laoch,Scotland,1,1,81.25,D,Europa
Dixon's,Scotland,1,0,49.85,G,Europa
Doctors' Special,Scotland,2,1,84,D,Europa
Double Barrel,Scotland,23,21,82.95,D,Europa
Double Cask,Scotland,3,3,84.95,D,Europa
Double Q,Scotland,1,1,76,E,Europa
Dow's,Scotland,2,0,49.85,G,Europa
Dram 101,Scotland,2,0,49.85,G,Europa
Dram House,Scotland,1,1,79,E,Europa
Dram Òrach,Scotland,1,0,49.85,G,Europa
Dram Regional,Scotland,9,9,83.01,D,Europa
Dram Select,Scotland,1,0,49.85,G,Europa
Driftwood,Scotland,1,1,73.5,F,Europa
Druichan Islay,Scotland,2,2,69,G,Europa
Drum Major,Scotland,3,3,77.44,E,Europa
Drumblade,Scotland,2,1,82.5,D,Europa
Drumbowie,Scotland,1,1,89,C,Europa
Drumguish,Scotland,9,4,65.63,G,Europa
Drummore's,Scotland,1,0,49.85,G,Europa
Drumochter,Scotland,2,0,49.85,G,Europa
Drury's,Scotland,1,1,81,D,Europa
Duck Bay,Scotland,1,0,49.85,G,Europa
Dufftown,Scotland,265,186,84.99,D,Europa
Dufftown Highland Games,Scotland,1,0,49.85,G,Europa
Dufftown Tower Malt,Scotland,1,0,49.85,G,Europa
Duggan's Dew,Scotland,3,0,49.85,G,Europa
Dumbarton,Scotland,55,36,86.51,C,Europa
Dumbarton Castle,Scotland,1,0,49.85,G,Europa
Dun Bheagan,Scotland,23,16,80.29,D,Europa
Dun Mhor,Scotland,4,1,79,E,Europa
Dun Naomhaig Bay,Scotland,2,2,87.11,C,Europa
Dun Naomhaig Water,Scotland,5,4,86.08,C,Europa
Dunadd,Scotland,6,0,49.85,G,Europa
Dunaverty,Scotland,3,3,88.13,C,Europa
Duncan Gilmour's,Scotland,1,0,49.85,G,Europa
Duncan MacGregor,Scotland,1,1,84,D,Europa
Duncan Special,Scotland,1,1,70,F,Europa
Duncraggan,Scotland,1,0,49.85,G,Europa
Duncraig,Scotland,2,0,49.85,G,Europa
Dundee 800,Scotland,1,0,49.85,G,Europa
Dunfermline Athletic Football Club,Scotland,2,0,49.85,G,Europa
Dunglass,Scotland,9,6,77.59,E,Europa
Dunhill,Scotland,9,0,49.85,G,Europa
Dunhillion,Scotland,1,0,49.85,G,Europa
Duniva,Scotland,1,0,49.85,G,Europa
Dunnottar,Scotland,1,1,82,D,Europa
Dunnyveg,Scotland,1,1,84,D,Europa
Dunosdale Cream,Scotland,1,0,49.85,G,Europa
Dunstone,Scotland,3,1,20,G,Europa
Duntreath,Scotland,1,0,49.85,G,Europa
Dunvegan,Scotland,2,0,49.85,G,Europa
Dunvegan Castle,Scotland,1,0,49.85,G,Europa
Dunwoodie,Scotland,1,0,49.85,G,Europa
Dunyvaig,Scotland,5,5,88.73,C,Europa
Dunyvaig Bay,Scotland,1,1,85.67,C,Europa
Eades,Scotland,6,3,82.67,D,Europa
Eagle of Spey,Scotland,8,6,87.53,C,Europa
Eaglesome's,Scotland,3,0,49.85,G,Europa
East Lothian,Scotland,1,1,86.5,C,Europa
East Marypark Distillery,Scotland,1,1,86.4,C,Europa
East Shore Islay Malt,Scotland,1,1,85.2,C,Europa
Eaton's,Scotland,3,1,82,D,Europa
Ebenezer Place,Scotland,1,0,49.85,G,Europa
Eden Mill,Scotland,22,16,83.02,D,Europa
Edenside,Scotland,1,0,49.85,G,Europa
Edinburgh,Scotland,1,0,49.85,G,Europa
Edinburgh Castle,Scotland,3,3,74.33,F,Europa
Edinburgh Festival,Scotland,12,5,84.57,D,Europa
Edinburgh Woollen Mill,Scotland,1,0,49.85,G,Europa
Edinburgh's Hogmanay,Scotland,1,0,49.85,G,Europa
Edradour,Scotland,795,639,83.27,D,Europa
EH10,Scotland,1,0,49.85,G,Europa
Eight Fellows,Scotland,1,0,49.85,G,Europa
Eilan Gillan,Scotland,5,5,78.75,E,Europa
Eilean A'cheo,Scotland,1,0,49.85,G,Europa
Eilean Dhubh,Scotland,1,0,49.85,G,Europa
Eilean Donan Castle,Scotland,2,0,49.85,G,Europa
Eilean Na Hearadh,Scotland,1,0,49.85,G,Europa
Eileandour,Scotland,1,0,49.85,G,Europa
El Máximo,Scotland,8,8,84.71,D,Europa
Eleuthera,Scotland,6,4,87.94,C,Europa
Ellenstown,Scotland,2,1,77,E,Europa
Ellis's 99,Scotland,1,0,49.85,G,Europa
Embassy Club,Scotland,1,0,49.85,G,Europa
Enchanting Emma,Scotland,1,1,86.8,C,Europa
Enlightenment,Scotland,2,2,85.92,C,Europa
Eorna,Scotland,1,1,78,E,Europa
Eòrna-Lòin,Scotland,1,1,82.75,D,Europa
Epicure,Scotland,1,0,49.85,G,Europa
Esquire,Scotland,2,1,81,D,Europa
Everton's,Scotland,1,0,49.85,G,Europa
Evolution,Scotland,9,8,88.92,C,Europa
Excalibur,Scotland,6,2,83.29,D,Europa
Excellency Club,Scotland,1,0,49.85,G,Europa
Excise Officer's Dram,Scotland,1,0,49.85,G,Europa
Exclusive Malts,Scotland,1,1,85.67,C,Europa
Executive,Scotland,2,0,49.85,G,Europa
Exhibition,Scotland,7,3,86.83,C,Europa
Exotic Cargo,Scotland,3,2,87.4,C,Europa
Fairy Flag,Scotland,1,1,80,D,Europa
Falcon,Scotland,1,0,49.85,G,Europa
Family-Owned Distillery,Scotland,1,1,86,C,Europa
Fantastic Fred,Scotland,1,1,86,C,Europa
Farmer's Malt,Scotland,6,2,80,D,Europa
Fascadale,Scotland,9,9,84.61,D,Europa
Faultline,Scotland,4,2,83,D,Europa
Favourite Distillery,Scotland,1,1,91,B,Europa
Fellsglen,Scotland,1,0,49.85,G,Europa
Feral Clangs,Scotland,1,1,89.83,C,Europa
Ferintosh,Scotland,2,2,59,G,Europa
Ferry to Islay,Scotland,6,3,85.69,C,Europa
Fest!,Scotland,1,0,49.85,G,Europa
Fettercairn,Scotland,329,241,83.92,D,Europa
Feuerwasser,Scotland,1,1,86,C,Europa
Fife-Keith Reserve,Scotland,1,0,49.85,G,Europa
Fifty / Fifty,Scotland,3,3,82.91,D,Europa
Fifty Six Degrees,Scotland,1,1,73,F,Europa
Finch's,Scotland,1,0,49.85,G,Europa
Findlater's,Scotland,23,6,82.18,D,Europa
Fine Blended Whisky,Scotland,1,1,89.84,C,Europa
Fine Single Grain Whisky,Scotland,1,1,91.43,B,Europa
Fine Single Highland Scotch Malt Whisky,Scotland,3,1,94,B,Europa
Fine Single Orkney Scotch Malt Whisky,Scotland,1,0,49.85,G,Europa
Fine Single Speyside Scotch Malt Whisky,Scotland,1,1,90,B,Europa
Finest Blended Scotch Whisky,Scotland,1,0,49.85,G,Europa
Finest Old Blended Scotch Whisky,Scotland,1,0,49.85,G,Europa
Finlaggan,Scotland,48,36,82.03,D,Europa
Fior Càirdeas,Scotland,1,0,49.85,G,Europa
Fiorghlan,Scotland,2,0,49.85,G,Europa
Firean,Scotland,1,1,71.33,F,Europa
First and Foremost,Scotland,1,0,49.85,G,Europa
First Foot,Scotland,1,0,49.85,G,Europa
Flaitheanas,Scotland,1,1,88.57,C,Europa
Flaming Cask,Scotland,4,0,49.85,G,Europa
Flaming Fergie,Scotland,1,1,86.44,C,Europa
Flaming Heart,Scotland,9,8,87.29,C,Europa
Flatnöse,Scotland,4,3,81.71,D,Europa
Fleeting,Scotland,4,4,85.79,C,Europa
Fletcher's,Scotland,2,0,49.85,G,Europa
Flower of Scotland,Scotland,12,1,81.6,D,Europa
Flowery Moon,Scotland,1,1,88.25,C,Europa
Fochabers Bicentenary,Scotland,1,1,84,D,Europa
For Ever Young Pristine,Scotland,1,1,92.67,B,Europa
Fort George,Scotland,1,0,49.85,G,Europa
Forth Bridge Centennial,Scotland,1,0,49.85,G,Europa
Forties,Scotland,1,1,86,C,Europa
Founders,Scotland,1,0,49.85,G,Europa
Founders Whisky,Scotland,1,0,49.85,G,Europa
Foxy Fiona,Scotland,1,1,86.93,C,Europa
Francis,Scotland,8,1,79,E,Europa
Fraser Mc.Donald's,Scotland,1,0,49.85,G,Europa
Fraser's,Scotland,2,0,49.85,G,Europa
Frasers Reserve,Scotland,3,3,70.78,F,Europa
Frazer McHugh,Scotland,1,0,49.85,G,Europa
Friar John Cor,Scotland,2,2,72.75,F,Europa
From arguably the Greatest Speyside Distillery!,Scotland,1,0,49.85,G,Europa
Fruity Moon,Scotland,1,1,74.5,F,Europa
Fuaran Ile,Scotland,26,11,86.76,C,Europa
Gairloch,Scotland,1,0,49.85,G,Europa
Galahad,Scotland,1,1,86.33,C,Europa
Garn Kirk,Scotland,1,0,49.85,G,Europa
Garnheath,Scotland,26,21,86.63,C,Europa
Gems of Scotland,Scotland,7,6,80.72,D,Europa
General,Scotland,1,0,49.85,G,Europa
Gentleman,Scotland,1,1,91.5,B,Europa
Genuine Scotch,Scotland,1,0,49.85,G,Europa
George Denis,Scotland,1,0,49.85,G,Europa
George Urquhart,Scotland,1,0,49.85,G,Europa
Germain Bros.,Scotland,1,0,49.85,G,Europa
Gerston,Scotland,8,7,84.05,D,Europa
Ghillie,Scotland,1,1,85,C,Europa
Gilbey's,Scotland,7,2,84.38,D,Europa
Gillon's,Scotland,1,0,49.85,G,Europa
Girvan,Scotland,133,92,83.81,D,Europa
Give 'n' Tell,Scotland,1,1,91,B,Europa
Glamis,Scotland,8,4,81.38,D,Europa
Glamis Castle,Scotland,2,1,90,B,Europa
Glasgow City of Culture,Scotland,1,0,49.85,G,Europa
Glasgow European City of Culture,Scotland,1,0,49.85,G,Europa
Glasgow Herald,Scotland,1,1,86.5,C,Europa
Gleaming,Scotland,1,1,89.92,C,Europa
Gleann Banbh,Scotland,5,5,84.02,D,Europa
Glen,Scotland,7,6,80.89,D,Europa
Glen Adam,Scotland,3,1,80.63,D,Europa
Glen Afton,Scotland,1,0,49.85,G,Europa
Glen Alan,Scotland,1,0,49.85,G,Europa
Glen Alba,Scotland,2,2,84.25,D,Europa
Glen Albyn,Scotland,151,102,86.06,C,Europa
Glen Ardoch,Scotland,3,2,58.65,G,Europa
Glen Argyll,Scotland,1,0,49.85,G,Europa
Glen Arvin,Scotland,1,0,49.85,G,Europa
Glen Avon,Scotland,44,34,88.69,C,Europa
Glen Bannock,Scotland,2,0,49.85,G,Europa
Glen Bervie,Scotland,1,1,50,G,Europa
Glen Blair,Scotland,6,1,73,F,Europa
Glen Broch,Scotland,4,3,67.35,G,Europa
Glen Brora,Scotland,1,1,90,B,Europa
Glen Burn,Scotland,2,0,49.85,G,Europa
Glen Cairn,Scotland,7,0,49.85,G,Europa
Glen Calder,Scotland,10,3,83.9,D,Europa
Glen Carren,Scotland,3,0,49.85,G,Europa
Glen Carron,Scotland,2,0,49.85,G,Europa
Glen Catrine,Scotland,3,1,77,E,Europa
Glen Cawdor,Scotland,8,6,92.05,B,Europa
Glen Clova,Scotland,2,0,49.85,G,Europa
Glen Clyde,Scotland,7,4,61.29,G,Europa
Glen Corrie,Scotland,1,0,49.85,G,Europa
Glen Coulmony,Scotland,1,0,49.85,G,Europa
Glen Craige,Scotland,1,1,83,D,Europa
Glen Crinan,Scotland,6,1,63,G,Europa
Glen Darbach,Scotland,1,0,49.85,G,Europa
Glen Deer,Scotland,1,1,88.55,C,Europa
Glen Demort,Scotland,2,1,92,B,Europa
Glen Deveron,Scotland,75,42,81.89,D,Europa
Glen Dhu,Scotland,1,1,74,F,Europa
Glen Dorsey,Scotland,1,0,49.85,G,Europa
Glen Douglas,Scotland,5,4,77.49,E,Europa
Glen Downan,Scotland,2,1,81,D,Europa
Glen Drumm,Scotland,3,1,94,B,Europa
Glen Drummond,Scotland,5,4,84.75,D,Europa
Glen Eagle,Scotland,5,1,82,D,Europa
Glen Eason,Scotland,1,0,49.85,G,Europa
Glen Edward's,Scotland,2,1,78,E,Europa
Glen Elg,Scotland,2,0,49.85,G,Europa
Glen Elgin,Scotland,399,310,86.15,C,Europa
Glen Ellis,Scotland,1,0,49.85,G,Europa
Glen Faye,Scotland,1,0,49.85,G,Europa
Glen Findlay,Scotland,1,0,49.85,G,Europa
Glen Finloch,Scotland,4,1,77,E,Europa
Glen Flagler,Scotland,33,23,85.02,C,Europa
Glen Fohdry,Scotland,3,0,49.85,G,Europa
Glen Forrest,Scotland,1,1,66,G,Europa
Glen Foster,Scotland,1,1,78,E,Europa
Glen Foyle,Scotland,2,0,49.85,G,Europa
Glen Franciscan,Scotland,3,1,88,C,Europa
Glen Fraser,Scotland,5,3,90.4,B,Europa
Glen Fruin,Scotland,1,0,49.85,G,Europa
Glen Fyne,Scotland,1,1,78,E,Europa
Glen Galwan,Scotland,2,1,70,F,Europa
Glen Garioch,Scotland,549,422,86.03,C,Europa
Glen Garry,Scotland,7,5,77.97,E,Europa
Glen Garvin,Scotland,1,0,49.85,G,Europa
Glen Gency,Scotland,3,0,49.85,G,Europa
Glen George,Scotland,1,1,86.67,C,Europa
Glen Ghillie,Scotland,1,0,49.85,G,Europa
Glen Gordon,Scotland,12,10,90.06,B,Europa
Glen Graeme,Scotland,3,0,49.85,G,Europa
Glen Grant,Scotland,1297,986,87.2,C,Europa
Glen Green,Scotland,1,1,50,G,Europa
Glen Grigor,Scotland,2,0,49.85,G,Europa
Glen Grouse,Scotland,2,1,75.5,E,Europa
Glen Gyle,Scotland,3,2,80.5,D,Europa
Glen Hood,Scotland,1,1,66.33,G,Europa
Glen Hunter,Scotland,2,0,49.85,G,Europa
Glen Ila,Scotland,3,2,85.13,C,Europa
Glen Keith,Scotland,406,324,86.75,C,Europa
Glen Kirk,Scotland,6,4,72.54,F,Europa
Glen Lairg,Scotland,1,0,49.85,G,Europa
Glen Laogh,Scotland,1,0,49.85,G,Europa
Glen Leora,Scotland,1,0,49.85,G,Europa
Glen Lord,Scotland,2,0,49.85,G,Europa
Glen Lyon,Scotland,3,1,86.75,C,Europa
Glen Mac Clay,Scotland,1,0,49.85,G,Europa
Glen Mansion,Scotland,1,1,40,G,Europa
Glen Marnoch,Scotland,15,11,80.05,D,Europa
Glen Martin,Scotland,2,1,82,D,Europa
Glen Mavis,Scotland,1,1,82,D,Europa
Glen Mhor,Scotland,203,157,86.76,C,Europa
Glen Mill,Scotland,1,0,49.85,G,Europa
Glen Mist,Scotland,1,0,49.85,G,Europa
Glen Monson,Scotland,1,0,49.85,G,Europa
Glen Moore,Scotland,1,0,49.85,G,Europa
Glen Morar,Scotland,1,0,49.85,G,Europa
Glen Moray,Scotland,776,548,85.7,C,Europa
Glen Morgain,Scotland,1,1,28.5,G,Europa
Glen Morris,Scotland,4,2,78,E,Europa
Glen Morven,Scotland,9,6,73.25,F,Europa
Glen Ness,Scotland,2,0,49.85,G,Europa
Glen Nevis,Scotland,10,1,84.6,D,Europa
Glen Nicol,Scotland,3,0,49.85,G,Europa
Glen Olo,Scotland,1,1,89.29,C,Europa
Glen Orchy,Scotland,5,3,69.77,G,Europa
Glen Ord,Scotland,261,199,84.91,D,Europa
Glen Orrin,Scotland,2,2,78.59,E,Europa
Glen Orson,Scotland,3,1,69,G,Europa
Glen Parker,Scotland,6,3,69.57,G,Europa
Glen Piper,Scotland,2,0,49.85,G,Europa
Glen Quaich,Scotland,1,1,80,D,Europa
Glen Ranoch,Scotland,3,1,73,F,Europa
Glen Raven,Scotland,1,0,49.85,G,Europa
Glen Roger's,Scotland,6,1,72.5,F,Europa
Glen Rosa,Scotland,6,2,70.84,F,Europa
Glen Rossie,Scotland,4,1,77,E,Europa
